policy,mechanism,temporal_enabled,spatial_enabled,converged,fixed_point_iterations,fixed_point_residual,rigid_centroid,elastic_centroid,aggregate_peak_load,aggregate_peak_to_average,maximum_provider_utilization,provider_utilization_imbalance,minimum_provider_qos,temporal_moved_fraction,total_demand,aggregate_peak_change_vs_neither,provider_peak_change_vs_neither,minimum_qos_change_vs_neither
uniform,neither,False,False,True,48,8.51007431190709e-10,5.379761972784119,5.37976197278412,238.61726655154428,1.7353983021930492,0.8237977059517599,0.3579258998273163,0.4715479759069167,0.0,1100.0,0.0,0.0,0.0
uniform,temporal_only,True,False,True,39,6.967191268358874e-10,5.379761972784119,5.306749048731069,222.29894864571355,1.6167196265142805,0.767460656038773,0.33344842296857036,0.8286628778869443,0.3127009532734121,1099.9999999999998,-16.318317905830725,-0.056337049912986936,0.35711490198002754
uniform,spatial_only,False,True,True,29,7.11907310879667e-10,5.379761972784119,5.37976197278412,238.61726655154428,1.7353983021930492,0.7967587258491068,0.38619015058620354,0.6675751671043152,0.0,1100.0,0.0,-0.027038980102653154,0.19602719119739848
uniform,combined,True,True,True,32,6.402036678565537e-10,5.379761972784119,5.3038394319524595,220.94371353856926,1.606863371189595,0.7789379207955686,0.38704256845330126,0.7741443674863395,0.3126904834064741,1099.9999999999998,-17.67355301297502,-0.04485978515619138,0.3025963915794228
symmetric_tou,neither,False,False,True,48,8.51007431190709e-10,5.379761972784119,5.37976197278412,238.61726655154428,1.7353983021930492,0.8237977059517599,0.3579258998273163,0.4715479759069167,0.0,1100.0,0.0,0.0,0.0
symmetric_tou,temporal_only,True,False,True,39,6.60190679901973e-10,5.379761972784119,5.196950858257361,195.36450047495464,1.420832730726943,0.6744726802111529,0.29304675071243197,0.987455135032574,0.33131055795029035,1100.0,-43.25276607658964,-0.14932502574060702,0.5159071591256572
symmetric_tou,spatial_only,False,True,True,29,7.061889961690326e-10,5.379761972784119,5.37976197278412,238.61726655154428,1.7353983021930492,0.7980711613982981,0.38889039147216364,0.6587806631749167,0.0,1100.0,0.0,-0.025726544553461794,0.18723268726799996
symmetric_tou,combined,True,True,True,34,9.764810071644092e-10,5.379761972784119,5.195135018576906,194.8829683519188,1.4173306789230458,0.7408775849043031,0.3892702864180628,0.9147975390105705,0.3310924487126136,1100.0,-43.73429819962547,-0.08292012104745683,0.44324956310365377
asymmetric_capacity_balance,neither,False,False,True,48,8.51007431190709e-10,5.379761972784119,5.37976197278412,238.61726655154428,1.7353983021930492,0.8237977059517599,0.3579258998273163,0.4715479759069167,0.0,1100.0,0.0,0.0,0.0
asymmetric_capacity_balance,temporal_only,True,False,True,39,6.942778574270392e-10,5.379761972784119,5.300973694451496,220.8831894844161,1.606423196250299,0.7625729160771507,0.33132478422662404,0.8484907521132301,0.31365082031720226,1100.0,-17.73407706712817,-0.06122478987460922,0.3769427762063134
asymmetric_capacity_balance,spatial_only,False,True,True,33,9.310453519262296e-10,5.379761972784119,5.37976197278412,238.61726655154428,1.7353983021930492,0.5923852418961696,0.30836074862349394,0.9989186289596774,0.0,1100.0,0.0,-0.23141246405559035,0.5273706530527607
asymmetric_capacity_balance,combined,True,True,True,34,7.424179049309032e-10,5.379761972784119,5.287110793065954,233.94099333699575,1.7013890424508782,0.6026979451038389,0.3108096934910345,0.9985271207445114,0.3188796890179808,1100.0,-4.67627321454853,-0.22109976084792105,0.5269791448375947
